platform,group,metric_key,display_name,symbol_or_short_name,mathematical_definition,physical_meaning,unit,inputs_required,implementation_status,notes
VMAT_IMRT,Plan prescription,mus,MUs,MUs,MUs = sum_beams(MU_beam),Total monitor units delivered by the plan.,MU,"Plan MU, prescription, fraction count, beam list",implemented,
VMAT_IMRT,Plan prescription,pmu,PMU,PMU,PMU = MUs * (2 Gy / fraction dose in Gy),Monitor units normalized to a standard 2 Gy fraction.,MU,"Plan MU, prescription, fraction count, beam list",implemented,
VMAT_IMRT,Plan prescription,muca,MUCA,MUCA,MUCA = MUs / N_control_arcs,Average monitor units delivered per control arc.,MU/control arc,"Plan MU, prescription, fraction count, beam list",implemented,
VMAT_IMRT,Plan prescription,fraction_dose_gy,Prescribed Dose,Prescribed Dose,Fraction dose = prescribed dose / number of fractions,Dose prescribed per fraction.,Gy,"Plan MU, prescription, fraction count, beam list",implemented,
VMAT_IMRT,Plan prescription,fractions_count,Fractions,Fractions,Fractions = N_fx,Number of planned treatment fractions.,count,"Plan MU, prescription, fraction count, beam list",implemented,
VMAT_IMRT,Plan prescription,mucgy,MUcGy,MUcGy,MUcGy = MUs / prescribed dose in cGy,Monitor units delivered per centigray of prescribed dose.,MU/cGy,"Plan MU, prescription, fraction count, beam list",implemented,
VMAT_IMRT,Leaf travel,lt,LT,LT,LT = weighted mean over control arcs of total leaf travel between adjacent apertures,Average total leaf travel across a control arc.,mm,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Leaf travel,lt_mlcx1,LT MLCX1,LT MLCX1,"Same formula as LT, but computed using MLCX1 apertures only.",Average total leaf travel across a control arc. Reported for MLCX1.,mm,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LT.
VMAT_IMRT,Leaf travel,lt_mlcx2,LT MLCX2,LT MLCX2,"Same formula as LT, but computed using MLCX2 apertures only.",Average total leaf travel across a control arc. Reported for MLCX2.,mm,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LT.
VMAT_IMRT,Leaf travel,ltmu,LTMU,LTMU,LTMU = sum(control-arc leaf travel) / MU_beam,Leaf travel normalized by delivered monitor units.,mm/MU,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Leaf travel,ltmu_mlcx1,LTMU MLCX1,LTMU MLCX1,"Same formula as LTMU, but computed using MLCX1 apertures only.",Leaf travel normalized by delivered monitor units. Reported for MLCX1.,mm/MU,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LTMU.
VMAT_IMRT,Leaf travel,ltmu_mlcx2,LTMU MLCX2,LTMU MLCX2,"Same formula as LTMU, but computed using MLCX2 apertures only.",Leaf travel normalized by delivered monitor units. Reported for MLCX2.,mm/MU,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LTMU.
VMAT_IMRT,Leaf travel,ltnlmu,LTNLMU,LTNLMU,LTNLMU = sum(leaf travel / active leaves) / MU_beam,"Leaf travel per involved leaf, normalized by monitor units.",mm/(leaf*MU),"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Leaf travel,ltnlmu_mlcx1,LTNLMU MLCX1,LTNLMU MLCX1,"Same formula as LTNLMU, but computed using MLCX1 apertures only.","Leaf travel per involved leaf, normalized by monitor units. Reported for MLCX1.",mm/(leaf*MU),"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LTNLMU.
VMAT_IMRT,Leaf travel,ltnlmu_mlcx2,LTNLMU MLCX2,LTNLMU MLCX2,"Same formula as LTNLMU, but computed using MLCX2 apertures only.","Leaf travel per involved leaf, normalized by monitor units. Reported for MLCX2.",mm/(leaf*MU),"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LTNLMU.
VMAT_IMRT,Leaf travel,nl,NL,NL,NL = weighted mean over control points of the number of active leaf pairs,Average number of leaves actively shaping the aperture.,count,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Leaf travel,nl_mlcx1,NL MLCX1,NL MLCX1,"Same formula as NL, but computed using MLCX1 apertures only.",Average number of leaves actively shaping the aperture. Reported for MLCX1.,count,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for NL.
VMAT_IMRT,Leaf travel,nl_mlcx2,NL MLCX2,NL MLCX2,"Same formula as NL, but computed using MLCX2 apertures only.",Average number of leaves actively shaping the aperture. Reported for MLCX2.,count,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for NL.
VMAT_IMRT,Leaf travel,ltnl,LTNL,LTNL,LTNL = weighted mean of (leaf travel / active leaves),Leaf travel normalized by the number of involved leaves.,mm/leaf,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Leaf travel,ltnl_mlcx1,LTNL MLCX1,LTNL MLCX1,"Same formula as LTNL, but computed using MLCX1 apertures only.",Leaf travel normalized by the number of involved leaves. Reported for MLCX1.,mm/leaf,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LTNL.
VMAT_IMRT,Leaf travel,ltnl_mlcx2,LTNL MLCX2,LTNL MLCX2,"Same formula as LTNL, but computed using MLCX2 apertures only.",Leaf travel normalized by the number of involved leaves. Reported for MLCX2.,mm/leaf,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for LTNL.
VMAT_IMRT,Arc geometry,al,AL,AL,AL = total gantry travel / N_beams,Average arc length delivered per beam.,deg,Beam gantry rotation angle and beam MU,implemented,
VMAT_IMRT,Leaf travel,lna,LNA,LNA,LNA = weighted mean of (leaf travel / active leaves / gantry-step),Leaf travel per involved leaf and per unit gantry travel.,mm/(leaf*deg),"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
